,tier,min_dmg,max_dmg,weight,speed,crit_chance,crit_multi,durability,str_req,skill_req,price,stock,level,tot,avg dps
Wooden Dagger,1,3,4,2,0.6,0.3,1.25,50,30,55,2,16,1,85,2.26
Battleworn Carver,1,4,5,3,0.55,0.2,1.2,44,50,35,2,16,1,85,2.57
Steel Dagger,2,7,9,3,0.6,0.3,1.25,76,40,65,4,12,4,105,5.16
Iron Carver,2,8,11,4,0.55,0.2,1.2,66,65,40,4,12,4,105,5.43
Verdant Shard,3,11,13,4,0.65,0.35,1.3,114,50,85,6,8,7,135,8.62
Emberized Stiletto,3,13,15,5,0.6,0.25,1.25,102,85,50,6,8,7,135,8.93
Diamond Shard,4,16,18,4,0.65,0.35,1.3,150,60,110,8,4,10,170,12.21
Crimson Stiletto,4,18,22,5,0.6,0.25,1.25,138,105,65,8,4,10,170,12.75
,,,,,,,,,,,,,,,
Wooden Sword,1,3,6,4,0.55,0.2,1.25,42,35,55,2,16,1,90,2.6
Battleworn Blade,1,4,7,6,0.5,0.15,1.2,40,60,30,2,16,1,90,2.83
Steel Sword,2,7,11,5,0.55,0.2,1.25,70,45,65,4,12,4,110,5.2
Iron Blade,2,8,13,7,0.5,0.15,1.2,60,70,40,4,12,4,110,5.41
Verdant Slicer,3,11,16,6,0.6,0.25,1.3,106,55,85,6,8,7,140,8.71
Emberized Slasher,3,14,18,8,0.55,0.2,1.25,94,90,50,6,8,7,140,9.24
Diamond Slicer,4,17,22,6,0.6,0.25,1.3,142,65,110,8,4,10,175,12.58
Crimson Slasher,4,20,25,9,0.55,0.2,1.25,128,110,65,8,4,10,175,12.99
,,,,,,,,,,,,,,,
Wooden Hatchet,1,3,8,5,0.5,0.2,1.3,38,40,55,2,16,1,95,2.92
Battleworn Axe,1,4,9,7,0.45,0.15,1.25,36,65,30,2,16,1,95,3.03
Steel Hatchet,2,7,13,6,0.5,0.2,1.3,64,50,65,4,12,4,115,5.3
Iron Axe,2,8,16,8,0.45,0.15,1.25,58,75,40,4,12,4,115,5.6
Verdant Splitter,3,12,18,7,0.55,0.25,1.35,88,60,85,6,8,7,145,8.97
Emberized Cleaver,3,14,21,10,0.5,0.2,1.3,80,95,50,6,8,7,145,9.28
Diamond Splitter,4,18,26,7,0.55,0.25,1.35,124,70,115,8,4,10,185,13.16
Crimson Cleaver,4,22,30,11,0.5,0.2,1.3,114,115,70,8,4,10,185,13.78
,,,,,,,,,,,,,,,
Wooden Hammer,1,5,8,6,0.45,0.1,1.15,40,45,45,2,16,1,90,2.97
Battleworn Mace,1,7,10,8,0.4,0.05,1.1,38,60,30,2,16,1,90,3.42
Steel Hammer,2,11,14,7,0.45,0.1,1.15,68,55,55,4,12,4,110,5.71
Iron Mace,2,13,17,10,0.4,0.05,1.1,62,70,40,4,12,4,110,6.03
Verdant Mallet,3,16,21,8,0.5,0.15,1.15,102,70,70,6,8,7,140,9.46
Emberized Crusher,3,18,25,12,0.45,0.1,1.1,94,85,55,6,8,7,140,9.77
Diamond Mallet,4,23,31,9,0.5,0.15,1.15,140,80,80,8,4,10,160,13.8
Crimson Crusher,4,28,36,14,0.45,0.1,1.1,130,105,65,8,4,10,170,14.54
,,,,,,,,,,,,,,,
Wooden Whip,1,2,13,5,0.4,0.2,1.45,32,35,55,2,16,1,90,3.27
Battleworn Flail,1,6,14,9,0.35,0.1,1.25,28,55,35,2,16,1,90,3.59
Steel Whip,2,5,21,6,0.4,0.2,1.6,50,45,65,4,12,4,110,5.82
Iron Flail,2,11,23,11,0.35,0.1,1.35,46,70,40,4,12,4,110,6.16
Verdant Knout,3,8,30,7,0.45,0.25,1.75,68,60,80,6,8,7,140,10.15
Emberized Scourge,3,16,35,13,0.4,0.15,1.45,62,90,50,6,8,7,140,10.89
Diamond Knout,4,10,42,8,0.45,0.25,1.9,86,70,90,8,4,10,160,14.33
Crimson Scourge,4,19,51,15,0.4,0.15,1.55,80,100,60,8,4,10,160,15.16
,,,,,,,,,,,,,,,
Barbaric Pike,1,8,10,6,0.6,0.25,1.3,52,55,40,4,16,1,95,5.81
Knightly Pike,2,16,19,7,0.6,0.25,1.3,78,70,50,8,12,4,120,11.29
Draconic Trident,3,24,28,8,0.65,0.3,1.35,114,95,60,12,8,7,155,18.67
Demonic Trident,4,34,39,9,0.65,0.3,1.35,148,110,80,16,4,10,190,26.22
,,,,,,,,,,,,,,,
Barbaric Claymore,1,8,13,10,0.55,0.2,1.25,55,60,40,4,16,1,100,6.06
Knightly Claymore,2,17,23,12,0.55,0.2,1.25,82,75,50,8,12,4,125,11.55
Draconic Edge,3,25,34,14,0.6,0.25,1.3,118,100,60,12,8,7,160,19.03
Demonic Edge,4,36,46,15,0.6,0.25,1.3,152,115,80,16,4,10,195,26.45
,,,,,,,,,,,,,,,
Barbaric Decapitator,1,7,16,12,0.5,0.2,1.3,48,70,35,4,16,1,105,6.1
Knightly Decapitator,2,16,28,14,0.5,0.2,1.3,70,85,45,8,12,4,130,11.66
Draconic Executioner,3,24,40,16,0.55,0.25,1.35,92,105,60,12,8,7,165,19.14
Demonic Executioner,4,34,55,17,0.55,0.25,1.35,128,125,80,16,4,10,205,26.62
,,,,,,,,,,,,,,,
Barbaric Warhammer,1,11,17,18,0.45,0.1,1.1,52,75,30,4,16,1,105,6.36
Knightly Warhammer,2,23,31,20,0.45,0.1,1.1,74,85,40,8,12,4,125,12.27
Draconic Skullbasher,3,35,43,22,0.5,0.15,1.15,109,105,55,12,8,7,160,19.94
Demonic Skullbasher,4,49,59,24,0.5,0.15,1.15,144,135,65,16,4,10,200,27.61
,,,,,,,,,,,,,,,
Barbaric Chainflogger,1,9,24,16,0.4,0.15,1.35,38,80,35,4,16,1,115,6.95
Knightly Spikes,2,13,47,22,0.4,0.15,1.45,52,90,40,8,12,4,130,12.81
Draconic Disemboweler,3,19,63,26,0.45,0.2,1.5,70,110,50,12,8,7,160,20.3
Demonic Torturer,4,26,88,30,0.45,0.2,1.55,92,140,60,16,4,10,200,28.47
